ID,Company,Category,Difficulty,Hops,Question,Expected Answer,Generated Answer,Correctness,Correctness Score,Groundedness,Groundedness Score,Completeness,Completeness Score,Overall Score,Judge Reason
q015,Infosys,temporal_trend,medium,2,How did Infosys’ market capitalization change from FY 2025 to FY 2026?,"It decreased from ₹6,52,332 crore to ₹5,07,192 crore, a decline of ₹1,45,140 crore (about 22.2%).","Infosys' market capitalization decreased from ₹6,52,332 crore in FY 2025 to ₹5,07,192 crore in FY 2026. This represents a decrease in market capitalization during that period.",pass,1,pass,1,partial,0.5,0.833333333,"The answer correctly states the FY 2025 to FY 2026 change in market capitalization and its direction, supported by the context. It omits the size of the decline and percentage decrease present in the expected answer."
q016,Infosys,temporal_trend,hard,2,How did Infosys’ dividend per share change from FY 2025 to FY 2026?,"It increased from ₹43.0 to ₹48.0, an increase of ₹5.0 or about 11.6%.","Infosys' dividend per share increased from ₹43.0 in FY 2025 to ₹48.0 in FY 2026, which is an increase of ₹5.0 per share.",pass,1,pass,1,partial,0.5,0.833333333,"The answer is factually correct and supported by the context, including the change from ₹43.0 to ₹48.0 and the ₹5.0 increase. It omits the percentage increase (~11.6%), so completeness is partial."
q017,Infosys,risk_qualitative,easy,1,What are the six pillars of Infosys’ AI-First value framework?,Strategy & engineering; data; process; legacy modernization; physical AI; trust.,"The six pillars of Infosys’ AI-First value framework are:

1. AI Strategy & Engineering (Orchestrate)
2. Data for AI (Insight)
3. Process AI (Transform)
4. Agentic Legacy Modernization (Modernize)
5. Physical AI (Innovate)
6. AI Trust (Assure)",pass,1,pass,1,pass,1,1,The generated answer matches the six pillars in the expected answer and all listed pillars are supported by the retrieved context.
q018,Infosys,risk_qualitative,medium,1,What does Infosys identify as a key trust-related issue as AI scales across enterprises?,"AI systems need to be responsible, secure, ethical, and aligned with regulations across jurisdictions.","Infosys identifies that as AI scales across enterprises, a key trust-related issue is ensuring that AI systems and agents embrace responsible, secure, and ethical AI practices across their entire lifecycle. This includes embedding risk assessments, policy design, security testing, and governance. These measures are critical to scaling AI with confidence while meeting regulatory, ethical, and risk expectations. This focus on AI Trust is one of the six core pillars of their AI-First value framework.",pass,1,pass,1,pass,1,1,"The answer matches the expected issue: AI systems should be responsible, secure, ethical, and aligned with regulations across jurisdictions. It is fully supported by the retrieved context and includes the key trust-related framing."
q019,Infosys,risk_qualitative,medium,1,What did Infosys say was required for enterprise data to become useful for an AI world?,Structured and unstructured data needs to be prepared for an AI world and turned into a trusted strategic asset that supports predictive intelligence and real-time decisions.,"Infosys stated that for enterprise data to become useful in an AI world, it needs to be prepared for AI model readiness. This includes building AI-ready data platforms and applying AI-grade data engineering techniques such as fingerprinting and synthetic data services. The goal is to convert raw data into a trusted strategic asset that fuels advanced analytics, predictive intelligence, and more informed, real-time decision-making. (Source: Infosys-ar-26, Passage 2)",pass,1,pass,1,pass,1,1,The generated answer matches the expected claim: structured and unstructured data must be prepared for AI and turned into a trusted strategic asset. The extra details about AI-ready platforms and data engineering are supported by the retrieved context.
q020,Infosys,risk_qualitative,hard,2,What was Infosys’ stated approach to legacy estates in the AI era?,Use AI agents that understand the intent of legacy systems to reverse-engineer and progressively modernize them.,"Infosys' stated approach to legacy estates in the AI era involves leveraging AI agents to reverse-engineer existing legacy systems, understand their intent, and progressively modernize them without disruption. This approach aims to reduce technical debt while gaining the agility to respond to changing business demands. Infosys calls this approach ""Agentic Legacy Modernization"" as part of its AI-first value framework. The goal is not to merely layer AI onto existing structures but to redesign business processes, customer journeys, and operating models that those legacy structures were originally built to serve, effectively performing a root-and-branch surgery to close the deployment gap in moving AI from pilot to scale. This modernization also involves transitioning legacy systems to cloud and using AI-driven techniques such as code modernization and reverse engineering to accelerate transformation timelines, reduce costs, and build scalable foundations for long-term innovation and growth. 

(Source: Infosys-ar-26)",pass,1,partial,0.5,partial,0.5,0.666666667,"The answer matches the stated approach: AI agents that reverse-engineer legacy estates by understanding their intent and progressively modernizing them. However, it adds extra claims (e.g., without disruption, reducing technical debt, Agentic Legacy Modernization, root-and-branch surgery) that are not all directly part of the asked answer, though most are loosely supported. It is missing only a bit of the minimal expected phrasing but captures the main point."
q021,TCS,basic_retrieval,easy,1,What was TCS’ revenue in FY 2026?,"₹2,67,021 crore","TCS' revenue from operations in FY 2026 was ₹267,021 crore. This is information reported in the TCS Annual Report 2025-26.",pass,1,pass,1,pass,1,1,"The generated answer gives TCS FY 2026 revenue as ₹267,021 crore, which matches the expected ₹2,67,021 crore and is directly supported by the retrieved context."
q022,TCS,basic_retrieval,easy,1,What was TCS’ operating margin in FY 2026?,25.00%,"TCS' operating margin in FY 2026 was 25.0%. This is mentioned in several passages, including Passage 1 and Passage 4, where it is noted as the highest operating margin in four years for TCS.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected operating margin of 25.0%, and this is explicitly supported by the retrieved context."
q023,TCS,basic_retrieval,easy,1,How many employees did TCS report in its integrated business model?,"584,519 employees","TCS reported 584,519 employees in its integrated business model according to the TCS Annual Report 2025-26.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected employee count exactly and is supported by the retrieved context, which states Employees = 584,519 in the Integrated Business Model/Human Capital section."
q024,TCS,basic_retrieval,easy,1,How much annualised AI Services revenue did TCS report for FY 2026?,US$2.3 billion,"TCS reported annualised AI Services revenue of US$ 2.3 billion for FY 2026. (Source: TCS_Annual_Report_2025-26, Passage 1 and Passage 3)",pass,1,pass,1,pass,1,1,"The generated answer matches the expected US$2.3 billion and is directly supported by the retrieved context, which states TCS generated annualised revenues of US$2.3 billion in AI Services for FY 2026."
q025,TCS,basic_retrieval,easy,1,What was TCS’ FY 2026 total contract value from deals?,US$40.7 billion,TCS' FY 2026 total contract value (TCV) from deals was US$ 40.7 billion. This is mentioned in multiple passages including Passage 1 and Passage 3.,pass,1,pass,1,pass,1,1,"The generated answer matches the expected FY 2026 TCV of US$40.7 billion, and this figure is directly supported by the retrieved context."
q026,TCS,multi_hop,medium,2,"What was TCS’ FY 2026 revenue growth and operating margin, and how did the operating margin compare with FY 2025?","Revenue grew 4.6%; operating margin was 25.0%, up 70 basis points from FY2025.","TCS' FY 2026 revenue growth was 4.6%. The operating margin for FY 2026 was 25.0%, which is an improvement of 0.7 percentage points compared to the operating margin of 24.3% in FY 2025.",pass,1,pass,1,pass,1,1,"Matches the expected answer: FY 2026 revenue growth was 4.6% and operating margin was 25.0%, up from 24.3% in FY 2025 (70 bps / 0.7 percentage points). All claims are supported by the retrieved context."
q027,TCS,multi_hop,medium,2,How did TCS’ FY 2026 operating profit compare with FY 2025?,"It increased from ₹62,165 crore to ₹66,838 crore, an increase of ₹4,673 crore (about 7.5%).","TCS' operating profit for FY 2026 was ₹66,838 crore, which is ₹4,673 crore higher compared to the operating profit of ₹62,165 crore in FY 2025.",pass,1,pass,1,pass,1,1,"Matches the evidence: FY 2026 operating profit was ₹66,838 crore versus ₹62,165 crore in FY 2025, an increase of ₹4,673 crore."
q028,TCS,multi_hop,medium,2,What relationship does TCS report between its revenue CAGR and operating-margin performance over FY2022–FY2026?,"Revenue CAGR was 10.2%, while FY2026 operating margin reached 25.0%, a four-year high.","The Tata Consultancy Services (TCS) annual report for FY2022–FY2026 provides the following insights on the relationship between its revenue CAGR and operating-margin performance:

1. Revenue CAGR: Over the five financial years from FY2022 to FY2026, TCS recorded a compound annual growth rate (CAGR) of 10.2% in revenue. The revenue values in crore INR were: FY2022 - 191,754, FY2023 - 225,458, FY2024 - 240,893, FY2025 - 255,324, FY2026 - 267,021.

2. Operating Margin: In the same period, TCS's operating margin showed some fluctuations but ended higher in FY2026 at 25.0%, which was a 70 basis points improvement from FY2025's 24.3%. The operating margins over the years were: FY2022 - 25.3%, FY2023 - 24.1%, FY2024 - 24.6%, FY2025 - 24.3%, FY2026 - 25.0%.

3. Relationship: The report highlights operational excellence resulting in industry-leading margins alongside a robust revenue growth CAGR of 10.2% over the five years. TCS managed to expand operating margins by 70 basis points in FY2026 despite increased investments in talent, capability building, and ecosystem partnerships, indicating that revenue growth was combined with margin improvement and prudent cost management.

In summary, TCS reports a positive and strong relationship between its revenue CAGR of 10.2% over FY2022–FY2026 and its operating margin performance, culminating in highest operating margin in four years at 25.0% in FY2026, demonstrating the resilience and scalability of its business model and operational excellence.",pass,1,pass,1,pass,1,1,"The answer matches the reported figures: revenue CAGR is 10.2% and operating margin in FY2026 is 25.0%, described as a four-year high. All claims are supported by the retrieved context and it includes the key relationship requested."
q029,TCS,multi_hop,hard,2,"How many employees had advanced AI skills at TCS, and how did that compare with the previous year?","More than 270,000 employees; about 3× last year.","At TCS, over 270,000 employees had advanced AI skills in FY 2026, which is three times (3x) the number from the previous year. This means the number of employees with advanced AI skills tripled compared to last year.",pass,1,pass,1,pass,1,1,"The answer matches the expected figures and comparison: over 270,000 employees and three times the previous year. All claims are supported by the retrieved context."
q030,TCS,numerical_financial,easy,1,What was TCS’ FY 2026 earnings per share?,₹145.99,TCS' earnings per share (EPS) for FY 2026 was ₹145.99.,pass,1,pass,1,pass,1,1,"The generated answer matches the expected FY 2026 EPS of ₹145.99, and this value is explicitly supported by the retrieved context."
q031,TCS,numerical_financial,medium,1,What was TCS’ operating cash flow in FY 2026?,"₹52,094 crore","TCS' operating cash flow in FY 2026 was ₹52,094 crore.",pass,1,pass,1,pass,1,1,The generated answer matches the expected operating cash flow value for FY 2026 and is fully supported by the retrieved context.
q032,TCS,numerical_financial,medium,1,What was TCS’ cash conversion in FY 2026?,105.90%,TCS' cash conversion in FY 2026 was 105.9%. This information is found in the TCS Annual Report 2025-26.,pass,1,pass,1,pass,1,1,"The answer matches the expected cash conversion value of 105.9%, and this is directly supported by the retrieved context (FY 2026 cash conversion 105.9%). It answers the question fully."
q033,TCS,numerical_financial,medium,1,"How many US$100 million-plus and US$50 million-plus clients did TCS have, respectively?",66 US$100M+ clients and 139 US$50M+ clients.,"According to the TCS_Annual_Report_2025-26:

- TCS had 66 clients with US$100 million-plus revenue.
- TCS had 139 clients with US$50 million-plus revenue.

Would you like information on client counts for other revenue bands as well?",pass,1,pass,1,pass,1,1,The answer matches the expected client counts exactly and both figures are directly supported by the retrieved context.
q034,TCS,temporal_trend,medium,2,How did TCS revenue change from FY 2022 to FY 2026?,"It increased from ₹1,91,754 crore to ₹2,67,021 crore, an increase of ₹75,267 crore (about 39.3%).","TCS revenue from operations changed as follows from FY 2022 to FY 2026:

- FY 2022: ₹191,754 crore
- FY 2023: ₹225,458 crore
- FY 2024: ₹240,893 crore
- FY 2025: ₹255,324 crore
- FY 2026: ₹267,021 crore

Overall, TCS revenue grew from ₹191,754 crore in FY 2022 to ₹267,021 crore in FY 2026, with a compound annual growth rate (CAGR) of 10.2%. The year-over-year revenue growth in FY 2026 was 4.6%. 

This indicates a steady increase in revenue over the five-year period.",pass,1,pass,1,pass,1,1,Matches the reported FY2022 and FY2026 revenue values and correctly states the 10.2% CAGR; the added intermediate years and YoY growth are supported by the context.
q035,TCS,temporal_trend,medium,2,How did TCS’ operating margin change from FY 2025 to FY 2026?,"It increased from 24.3% to 25.0%, up 70 basis points.",TCS' operating margin increased from 24.3% in FY 2025 to 25.0% in FY 2026. This represents an improvement of 70 basis points.,pass,1,pass,1,pass,1,1,"Matches the expected change exactly: operating margin rose from 24.3% to 25.0%, an increase of 70 basis points, and this is supported by the retrieved context."
q036,TCS,temporal_trend,hard,2,How did TCS’ EPS change between FY 2022 and FY 2026?,"It increased from ₹103.62 to ₹145.99, an increase of ₹42.37 (about 40.9%).","TCS' Earnings Per Share (EPS) changed as follows between FY 2022 and FY 2026:

- FY 2022: ₹103.62
- FY 2023: ₹115.19
- FY 2024: ₹127.74
- FY 2025: ₹134.19
- FY 2026: ₹145.99

The EPS increased steadily over these years, with a compound annual growth rate (CAGR) of 10.3%.",pass,1,pass,1,partial,0.5,0.833333333,"The answer is correct and supported by the context, including the FY2022 and FY2026 EPS values and the CAGR. However, it omits the explicit increase amount and percentage change stated in the expected answer."
q037,TCS,risk_qualitative,medium,1,What five transformation pillars did TCS identify to underpin its aspiration to become the world’s largest AI-led technology services company?,1) Internal Transformation; 2) Redefining Services; 3) Building a Future-Ready Talent Model; 4) Making AI Real for clients; 5) AI Ecosystem Play.,"TCS identified the following five transformation pillars to underpin its aspiration to become the world’s largest AI-led technology services company:

1) TCS Internal Transformation: Driving an AI-first culture and large-scale deployment of AI solutions internally.
2) Redefining Services: Establishing a dedicated Services Transformation unit and launching a services re-design framework based on a Human + AI service autonomy model to enable consistent AI deployment at enterprise scale.
3) Building a Future-Ready Talent Model: Investing in learning hours and enabling employees to acquire advanced AI skills, and hiring globally for next-gen roles.
4) Making AI Real for Clients: Creating an AI acceleration playbook to help clients innovate products, services, and customer experiences through AI.
5) AI Ecosystem Play: Following a Build-Partner-Acquire approach to deepen partnerships, acquire organizations, and launch new ventures to strengthen differentiation and competitive edge.

These pillars support TCS's strategy to lead across the full AI stack, from infrastructure to intelligence, and deliver measurable business outcomes for clients.",pass,1,partial,0.5,pass,1,0.833333333,"The five pillars match the expected answer and the retrieved context. The answer is supported overall, though it adds extra descriptive details not required by the question, some of which are not directly evidenced in the retrieved passage."
q038,TCS,risk_qualitative,medium,1,What challenge does TCS identify around enterprise AI adoption in FY 2026?,AI adoption remains at an early stage for most enterprises; TCS states that 95% of enterprises are still in the initial phases of their AI journey.,"TCS identifies the challenge that enterprises often have tools and AI models but lack the standardized control and context needed to safely run agentic AI systems in day-to-day operations. This creates a need for an AI Operating System that provides a unified control plane across the full AI stack— from Infrastructure to Intelligence— to make AI deployments repeatable, governable, and embedded with trust mechanisms such as security, monitoring, evaluation, and auditability. This challenge is critical as AI scales from pilots to enterprise-wide use, requiring industry expertise, partnerships, and governance to deploy safely and at scale. (Source: TCS_Annual_Report_2025-26)",fail,0,fail,0,fail,0,0,"The generated answer discusses a different challenge (lack of standardized control/context for agentic AI) instead of the expected point that 95% of enterprises are still in the initial phases of their AI journey. That specific 95% claim is not answered, and the response adds unsupported details beyond the context."
q039,TCS,risk_qualitative,medium,1,What did TCS say enterprises will need as AI scales?,"Greater attention to trust, security and data sovereignty, supported by an AI Operating System built around infrastructure, data, models, context, agents and governance.","TCS stated that as AI scales, enterprises will need an ""AI Operating System."" This AI Operating System will serve as a foundation of infrastructure, data, models, context, agents, and governance. It will be essential for enterprises to embed trust, security, monitoring, evaluation, and auditability mechanisms to run agentic AI systems safely and govern AI adoption at scale. The AI Operating System will make AI repeatable and governable through orchestration in an enterprise’s context.

This need arises because many enterprises have AI tools and models but lack the standardized control and context to operate agentic AI systems securely in day-to-day operations. The AI Operating System will help enterprises manage a unified control plane across the full AI stack, from infrastructure to intelligence.

(Source: Passages 1, 3, and 6 from TCS_Annual_Report_2025-26)",pass,1,pass,1,pass,1,1,"The answer matches the expected point: TCS said enterprises will need greater trust, security and data sovereignty, enabled by an AI Operating System spanning infrastructure, data, models, context, agents and governance. All claims are supported by the retrieved passages."
q040,TCS,risk_qualitative,hard,1,What was the cited impact of AI-driven dispatch optimisation for a U.S. utility customer?,Field efficiency improved by 30%.,The AI-driven dispatch optimisation for a leading U.S. utility customer improved field efficiency by 30%. This impact is cited in the context of TCS's AI-led transformation efforts.,pass,1,pass,1,pass,1,1,The generated answer matches the expected impact exactly: field efficiency improved by 30%. It is fully supported by the retrieved TCS annual report context and includes the key detail asked for.
q041,ITC,basic_retrieval,easy,1,What was ITC’s Gross Revenue in FY 2025-26?,"₹80,867.49 crore","ITC's Gross Revenue in FY 2025-26 was ₹ 80,867.49 crores. (Source: ITC-Report-and-Accounts-2026, Passage 1)",pass,1,pass,1,pass,1,1,The generated answer exactly matches the expected Gross Revenue figure and is directly supported by the retrieved context.
q042,ITC,basic_retrieval,easy,1,What was ITC’s EBITDA in FY 2025-26?,"₹25,208.22 crore","ITC's EBITDA for the financial year 2025-26 was ₹ 25208.22 crores. (Source: ITC-Report-and-Accounts-2026, Passage 1)",pass,1,pass,1,pass,1,1,"The generated answer matches the expected EBITDA value of ₹25,208.22 crore, and this figure is explicitly supported by the retrieved context."
q043,ITC,basic_retrieval,easy,1,What was ITC’s Profit After Tax in FY 2025-26?,"₹20,286.42 crore","ITC's Profit After Tax (PAT) for the financial year 2025-26 was ₹ 20,286.42 crores. (Source: ITC-Report-and-Accounts-2026, Passage 1)",pass,1,pass,1,pass,1,1,"The generated answer matches the expected PAT value exactly, and the claim is supported by the retrieved context (Passage 1 and 4)."
q044,ITC,basic_retrieval,easy,1,What was ITC’s total dividend per share for FY 2025-26?,₹14.50 per share,ITC's total dividend per share for FY 2025-26 was ₹ 14.50. This includes an Interim Dividend of ₹ 6.50 per share and a Final Dividend of ₹ 8.00 per share.,pass,1,pass,1,pass,1,1,"The generated answer matches the expected total dividend per share of ₹14.50 for FY 2025-26, and the added interim/final dividend breakdown is supported by the retrieved context."
q045,ITC,basic_retrieval,easy,1,How many sustainable livelihoods do ITC’s businesses and value chains support?,90 lakh sustainable livelihoods,"ITC’s businesses and value chains support 90 lakh sustainable livelihoods. (Source: ITC-Report-and-Accounts-2026, Passage 1)",pass,1,pass,1,pass,1,1,The answer exactly matches the expected figure and is directly supported by the retrieved context.
q046,ITC,multi_hop,medium,2,"By how much did ITC’s Gross Revenue grow year over year, and what happened to EBITDA growth?",Gross Revenue increased 10.1%; EBITDA increased 4.9%.,"ITC’s Gross Revenue grew by ₹7,400.88 crores year over year, which is approximately a 10.07% increase. The EBITDA also grew by ₹1,182.22 crores, showing a 4.9% increase.",pass,1,pass,1,pass,1,1,The generated answer matches the expected year-over-year changes: Gross Revenue rose about 10.1% and EBITDA rose 4.9%. It is fully supported by the retrieved context and includes the key information asked.
q047,ITC,multi_hop,medium,2,How much did ITC’s FY2026 PAT exceed FY2025 PAT?,"₹193.13 crore, or about 1.0% higher.",ITC's Profit After Tax (PAT) for FY2026 exceeded FY2025 PAT by ₹193.13 crores.,pass,1,pass,1,partial,0.5,0.833333333,"The answer correctly states the PAT increase of ₹193.13 crore, which is supported by the context. However, it omits the additional expected detail that this is about 1.0% higher."
q048,ITC,multi_hop,medium,2,"What were ITC’s direct foreign-exchange earnings and total Company-and-subsidiaries foreign-exchange earnings in FY2025-26, and what share of the ITC Group’s ten-year foreign-exchange earnings aggregate came from agri exports?","Direct company FX earnings were ₹8,286 crore; Company-and-subsidiaries FX earnings were ₹11,204 crore; agri exports were about 60% of the ITC Group’s ten-year FX earnings aggregate.","ITC's direct foreign-exchange earnings in FY 2025-26 amounted to ₹ 8286 crores. The total foreign-exchange earnings for the Company and its subsidiaries in the same period were ₹ 11204 crores.

Regarding the ITC Group's ten-year foreign-exchange earnings aggregate, approximately 60% of it came from agri exports.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected figures and the 60% share, and all claims are directly supported by the retrieved context."
q049,ITC,multi_hop,hard,2,What does ITC’s FY2026 performance suggest when comparing revenue growth with EBITDA growth?,"Revenue grew faster than EBITDA: 10.1% versus 4.9%, indicating EBITDA growth lagged revenue growth by 5.2 percentage points.","In FY 2026, ITC's Gross Revenue increased by approximately 10.1% compared to the previous year, while its EBITDA increased by approximately 4.9%. This suggests that although ITC experienced a healthy growth in revenue, the EBITDA growth was relatively moderate, indicating that the company's profitability growth was slower than its revenue growth in FY 2026.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected comparison: revenue grew by 10.1% while EBITDA grew by 4.9%, correctly implying EBITDA lagged revenue growth. All claims are supported by the retrieved context and the key takeaway is present."
q050,ITC,numerical_financial,easy,1,What was ITC’s Earnings Per Share for FY 2025-26?,₹16.20,"ITC's Earnings Per Share (EPS) for FY 2025-26 was ₹16.20. This is for continuing operations on a basic and diluted basis. For continuing and discontinued operations combined, the basic EPS was also ₹16.20, and the diluted EPS was ₹16.19. 

(Source: ITC-Report-and-Accounts-2026)",pass,1,pass,1,pass,1,1,"The generated answer states EPS as ₹16.20, which matches the expected answer and is supported by the retrieved context. It also includes extra EPS breakdown details, but they do not conflict with the main answer."
q051,ITC,numerical_financial,medium,1,How much foreign exchange did ITC and its subsidiaries earn in FY 2025-26?,"₹11,204 crore","In FY 2025-26, ITC and its subsidiaries earned ₹ 11,204 crores in foreign exchange.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected amount exactly and is supported by the retrieved context, which states that ITC and its subsidiaries earned ₹11,204 crores in foreign exchange in FY 2025-26."
q052,ITC,numerical_financial,medium,1,How much of ITC’s value-added over the last five years accrued to the Exchequer?,"Over ₹230,000 crore, out of aggregate value-added of over ₹343,000 crore.","According to the provided context from the ITC-Report-and-Accounts-2026, over the last five years, the value-added by ITC aggregated over ₹ 343,000 crores, of which over ₹ 230,000 crores accrued to the Exchequer.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected figures: over ₹343,000 crore of value-added, of which over ₹230,000 crore accrued to the Exchequer. Both claims are directly supported by the retrieved context."
q053,ITC,numerical_financial,hard,1,What percentage of ITC’s energy consumption came from renewable sources according to the report overview?,51%,"According to the report overview, ITC's energy consumption from renewable sources is 51% of the total energy consumed.",pass,1,pass,1,pass,1,1,"The answer matches the expected 51% and is directly supported by the retrieved context, which states that ITC’s energy from renewable sources is 51% of total energy."
q054,ITC,temporal_trend,medium,2,How did ITC’s Profit After Tax change from FY 2024 to FY 2026?,"It increased from ₹19,910 crore in FY2024 to ₹20,286 crore in FY2026, an increase of ₹376 crore (about 1.9%).","ITC's Profit After Tax (PAT) increased from ₹19,910 crores in FY 2024 to ₹20,286.42 crores in FY 2026, which is an increase of approximately ₹376.42 crores. However, the PAT decreased from ₹20,093.29 crores in FY 2025 to ₹19,910 crores in FY 2024 by about ₹183.29 crores. Overall, the PAT showed a positive change from FY 2024 to FY 2026.",pass,1,pass,1,pass,1,1,"The answer matches the evidence: PAT is ₹19,910 crore in FY2024 and ₹20,286.42 crore in FY2026, an increase of about ₹376 crore. The extra FY2025 comparison is supported by the context and does not change the main answer."
